,代码,名称
511,sz399692,创业低波
512,sz399693,安防产业
513,sz399694,创业高贝
514,sz399695,深证节能
515,sz399696,深证创投
516,sz399697,中关村60
517,sz399698,优势成长
518,sz399699,金融科技
519,sz399701,深证F60
520,sz399702,深证F120
521,sz399703,深证F200
522,sz399704,深证上游
523,sz399705,深证中游
524,sz399706,深证下游
525,sz399707,CSSW证券
526,sz399802,500深市
527,sz399803,工业4.0
528,sz399804,中证体育
529,sz399805,互联金融
530,sz399806,环境治理
531,sz399807,高铁产业
532,sz399808,中证新能
533,sz399809,保险主题
534,sz399810,CSSW传媒
535,sz399811,CSSW电子
536,sz399812,养老产业
537,sz399813,中证国安
538,sz399814,大农业
539,sz399817,生态100
540,sz399901,小康指数
541,sz399903,中证100
542,sz399904,中证 200
543,sz399905,中证 500
544,sz399913,300 医药
545,sz399914,300 金融
546,sz399918,300 成长
547,sz399928,中证能源
548,sz399932,中证消费
549,sz399933,中证医药
550,sz399934,中证金融
551,sz399935,中证信息
552,sz399944,内地资源
553,sz399958,创业成长
554,sz399959,军工指数
555,sz399965,800地产
556,sz399966,800非银
557,sz399967,中证军工
558,sz399970,移动互联
559,sz399971,中证传媒
560,sz399972,300深市
561,sz399973,中证国防
562,sz399974,国企改革
563,sz399975,证券公司
564,sz399976,CS新能车
565,sz399982,500等权
566,sz399983,地产等权
567,sz399986,中证银行
568,sz399987,中证酒
569,sz399989,中证医疗
570,sz399990,煤炭等权
571,sz399991,一带一路
572,sz399992,CSWD并购
573,sz399993,CSWD生科
574,sz399994,信息安全
575,sz399995,基建工程
576,sz399996,智能家居
577,sz399997,中证白酒
578,sz399998,中证煤炭
579,sz980001,
580,sz980017,
581,sz980023,
582,sz980068,
583,sz988006,
584,sz988007,
585,sz988106,
586,sz988107,
587,sz988201,
